Date,1,2,3,4,5,6,7,8,9,10,11,12
01,NT,PH,"7,786.50","6,251.00",PH,"6,676.50","4,838.50","4,143.50","4,002.50",NT,"4,045.00","4,071.00"
02,PH,PH,"8,076.50",NT,PH,"6,752.00",NT,"3,946.50","3,905.00",PH,"4,204.00","3,991.50"
03,"5,214.00",NT,"7,530.50",PH,PH,"6,771.00",PH,"4,011.50",NT,"3,377.00","4,190.00",NT
04,"5,245.50","5,744.00","6,843.50","6,357.50",PH,NT,"4,698.00","3,939.00",PH,"3,451.00","4,188.50",PH
05,"5,331.00",NT,NT,"6,457.00","7,469.50",PH,"4,344.00","4,040.50","3,896.00","3,599.50",NT,"4,004.00"
06,"5,340.00",PH,PH,"6,571.00","7,090.50",PH,"3,934.00",NT,"3,834.00","3,645.50",PH,"3,970.00"
07,"5,336.00","5,749.50","7,005.50","6,487.50",NT,"6,753.50","4,088.50",PH,"3,680.50","3,646.00","4,212.50","3,985.50"
08,NT,"5,515.00","7,005.00","6,533.50",PH,"6,746.50","4,205.50","4,119.00","3,663.00",NT,"4,180.00","3,933.50"
09,PH,"5,642.50","7,410.00",NT,"7,052.00","6,644.50",NT,"4,175.50","3,625.00",PH,"4,134.50","3,964.50"
10,"5,347.00","5,751.00","7,546.00",PH,"7,010.50","6,540.50",PH,"4,166.50",NT,PH,"4,042.50",NT
11,"5,266.00","5,799.50","7,440.50","6,626.50","7,078.00",NT,PH,"4,245.50",PH,"3,586.00","4,173.00",PH
12,"5,278.00",NT,NT,"6,619.50","6,939.00",PH,"4,244.00","4,420.00","3,642.50","3,635.50",NT,"3,808.00"
13,"5,301.00",PH,PH,"6,551.50","6,950.00","6,091.00","4,000.00",NT,"3,756.50","3,633.50",PH,"3,896.50"
14,"5,294.00","5,837.00","6,927.50","6,639.00",NT,"6,068.00","3,990.00",PH,"3,763.50","3,721.00","4,023.00","3,889.00"
15,NT,"5,970.50","6,846.50","6,642.50",PH,"5,914.50","3,631.50","4,253.00","3,694.00",NT,"4,009.50","3,906.00"
16,PH,"5,951.50","6,895.00",NT,PH,"5,719.00",NT,"4,240.00",PH,PH,"3,974.50","3,907.00"
17,"5,297.00","5,964.00","6,737.00",PH,"6,635.50","5,703.50",PH,"4,217.00",NT,"3,717.00","3,826.50",NT
18,PH,"6,027.50","6,392.00","6,710.00","6,679.50",NT,"3,810.00","4,158.00",PH,"3,863.50",PH,PH
19,"5,409.00",NT,NT,"6,633.50","6,635.50",PH,"3,956.00","4,153.00","3,743.50","3,996.50",NT,"3,916.00"
20,"5,380.50",PH,PH,"6,717.50","6,734.50","5,398.50","3,956.50",NT,"3,703.00","3,974.50",PH,"3,893.00"
21,"5,421.50","6,158.00","6,382.00","6,773.50",NT,"5,245.00","3,810.50",PH,"3,753.50","3,959.00","3,847.00","3,901.50"
22,NT,"6,279.00","6,502.00","6,777.50",PH,"5,046.00","3,820.50","4,210.50","3,780.00",NT,"3,962.50","3,886.50"
23,PH,"6,485.00","6,646.00",NT,"6,715.00","4,770.50",NT,"4,196.00","3,748.50",PH,"4,018.00","3,890.50"
24,"5,497.00","6,845.50","6,688.50",PH,"6,894.50","4,765.50",PH,"4,258.50",NT,PH,"4,073.00",NT
25,"5,442.00","6,779.00","6,664.50","7,234.50","6,951.50",NT,"3,783.50","4,276.00",PH,"4,014.50","4,020.00",PH
26,"5,497.50",NT,NT,"7,078.00","6,979.50",PH,"3,913.50","4,205.50","3,465.50","3,942.50",NT,PH
27,"5,605.50",PH,PH,"7,213.00","7,095.50","4,914.50","3,895.00",NT,"3,494.00","3,983.50",PH,"4,020.00"
28,"5,700.00",NT,"6,647.00","7,468.50",NT,"5,092.00","4,022.00",PH,"3,275.00",NT,PH,"4,045.50"
29,NT,,"6,633.50","7,605.50",PH,"5,154.00","4,197.00","4,193.50","3,297.50",NT,"4,158.00",NT
30,PH,,"6,587.50",NT,"6,787.50","5,065.00",NT,"4,025.50","3,321.00",PH,"4,089.50",NT
31,NT,,"6,424.50",,"6,680.00",,PH,PH,,NT,,NT
